epoch,model,aug_type,aug,vcp,loss,val_loss,accuracy,val_accuracy,translation,noise,edge_noise,rotation,swap,dist_1,dist_4,cos_1,cos_4
1,cnn,translation,0.0,0.0,1.7831028699874878,1.5726208686828613,0.3487708270549774,0.4270833432674408,,,,,,,,,
2,cnn,translation,0.0,0.0,1.482024073600769,1.423655390739441,0.46299999952316284,0.4907499849796295,,,,,,,,,
3,cnn,translation,0.0,0.0,1.3608124256134033,1.321776032447815,0.5105624794960022,0.531083345413208,,,,,,,,,
4,cnn,translation,0.0,0.0,1.2647290229797363,1.240386724472046,0.551770806312561,0.562333345413208,,,,,,,,,
5,cnn,translation,0.0,0.0,1.1854115724563599,1.1495064496994019,0.581416666507721,0.5974166393280029,,,,,,,,,
6,cnn,translation,0.0,0.0,1.1181172132492065,1.157325029373169,0.6063958406448364,0.5988333225250244,,,,,,,,,
7,cnn,translation,0.0,0.0,1.0538651943206787,1.057834267616272,0.6321250200271606,0.6311666369438171,,,,,,,,,
8,cnn,translation,0.0,0.0,1.0022004842758179,1.0387135744094849,0.6521874666213989,0.6387500166893005,,,,,,,,,
9,cnn,translation,0.0,0.0,0.9439274668693542,0.9673894047737122,0.6751874685287476,0.6685000061988831,,,,,,,,,
10,cnn,translation,0.0,0.0,0.8927834630012512,0.9318939447402954,0.6934999823570251,0.6735833287239075,,,,,,,,,
11,cnn,translation,0.0,0.0,0.8393102884292603,0.8797789812088013,0.7166249752044678,0.703000009059906,,,,,,,,,
12,cnn,translation,0.0,0.0,0.7873284220695496,0.8420352935791016,0.7355833053588867,0.7141666412353516,,,,,,,,,
13,cnn,translation,0.0,0.0,0.7401126027107239,0.8191482424736023,0.7529582977294922,0.7245000004768372,,,,,,,,,
14,cnn,translation,0.0,0.0,0.6934505701065063,0.8215354084968567,0.7700833082199097,0.7179166674613953,,,,,,,,,
15,cnn,translation,0.0,0.0,0.6438932418823242,0.7277257442474365,0.7889166474342346,0.7596666812896729,,,,,,,,,
16,cnn,translation,0.0,0.0,0.605358898639679,0.6954330205917358,0.8027499914169312,0.7695833444595337,,,,,,,,,
17,cnn,translation,0.0,0.0,0.5509418845176697,0.6402971744537354,0.824791669845581,0.793916642665863,,,,,,,,,
18,cnn,translation,0.0,0.0,0.5161470770835876,0.6342391967773438,0.8368958234786987,0.7900833487510681,,,,,,,,,
19,cnn,translation,0.0,0.0,0.4731431007385254,0.5904656052589417,0.8511666655540466,0.8086666464805603,,,,,,,,,
20,cnn,translation,0.0,0.0,0.4367114305496216,0.5928751826286316,0.8650833368301392,0.809333324432373,,,,,,,,,
21,cnn,translation,0.0,0.0,0.3954225182533264,0.542046070098877,0.8803125023841858,0.8316666483879089,,,,,,,,,
22,cnn,translation,0.0,0.0,0.3607606589794159,0.5100168585777283,0.8924583196640015,0.8375833034515381,,,,,,,,,
23,cnn,translation,0.0,0.0,0.32994747161865234,0.48616817593574524,0.9032708406448364,0.8510000109672546,,,,,,,,,
24,cnn,translation,0.0,0.0,0.29237937927246094,0.4693441390991211,0.9163541793823242,0.859499990940094,,,,,,,,,
25,cnn,translation,0.0,0.0,0.2695447504520416,0.43818798661231995,0.9240208268165588,0.8679999709129333,,,,,,,,,
26,cnn,translation,0.0,0.0,0.23844067752361298,0.38149693608283997,0.9347291588783264,0.8949166536331177,,,,,,,,,
27,cnn,translation,0.0,0.0,0.21510131657123566,0.36542630195617676,0.9407708048820496,0.9011666774749756,,,,,,,,,
28,cnn,translation,0.0,0.0,0.18979611992835999,0.35640135407447815,0.9495208263397217,0.9045000076293945,,,,,,,,,
29,cnn,translation,0.0,0.0,0.17231693863868713,0.33769962191581726,0.9544374942779541,0.9114166498184204,,,,,,,,,
30,cnn,translation,0.0,0.0,0.14953047037124634,0.31156420707702637,0.9623124599456787,0.9241666793823242,,,,,,,,,
31,cnn,translation,0.0,0.0,0.1303393691778183,0.3361039161682129,0.9667083024978638,0.9072499871253967,,,,,,,,,
32,cnn,translation,0.0,0.0,0.11383887380361557,0.2850514352321625,0.9726458191871643,0.9352499842643738,,,,,,,,,
33,cnn,translation,0.0,0.0,0.10193902254104614,0.3065887987613678,0.976645827293396,0.9275833368301392,,,,,,,,,
