epoch,model,aug_type,aug,vcp,loss,val_loss,accuracy,val_accuracy,translation,noise,edge_noise,rotation,swap,dist_1,dist_4,cos_1,cos_4
107,cnn,translation,0.0,0.0,0.0006464136531576514,0.34711673855781555,1.0,0.956416666507721,,,,,,,,,
108,cnn,translation,0.0,0.0,0.0004553834442049265,0.3558219373226166,1.0,0.9559166431427002,,,,,,,,,
109,cnn,translation,0.0,0.0,0.00035516556818038225,0.36273419857025146,1.0,0.9560832977294922,,,,,,,,,
110,cnn,translation,0.0,0.0,0.00028772366931661963,0.3687054514884949,1.0,0.9558333158493042,,,,,,,,,
111,cnn,translation,0.0,0.0,0.0002382572420174256,0.3741978406906128,1.0,0.9558333158493042,,,,,,,,,
112,cnn,translation,0.0,0.0,0.00020025152480229735,0.3801019787788391,1.0,0.9564999938011169,,,,,,,,,
113,cnn,translation,0.0,0.0,0.00017106624727603048,0.38533028960227966,1.0,0.9565833210945129,,,,,,,,,
114,cnn,translation,0.0,0.0,0.00014738066238351166,0.3916192054748535,1.0,0.9558333158493042,,,,,,,,,
115,cnn,translation,0.0,0.0,0.00012724391126539558,0.396533727645874,1.0,0.9559999704360962,,,,,,,,,
116,cnn,translation,0.0,0.0,0.00011075984366470948,0.40235382318496704,1.0,0.9559999704360962,,,,,,,,,
117,cnn,translation,0.0,0.0,9.61365076364018e-05,0.40707799792289734,1.0,0.9555833339691162,,,,,,,,,
118,cnn,translation,0.0,0.0,8.381691441172734e-05,0.4111424386501312,1.0,0.956166684627533,,,,,,,,,
119,cnn,translation,0.0,0.0,7.363648910541087e-05,0.41640934348106384,1.0,0.956333339214325,,,,,,,,,
120,cnn,translation,0.0,0.0,6.399155972758308e-05,0.42220744490623474,1.0,0.9559999704360962,,,,,,,,,
121,cnn,translation,0.0,0.0,5.630385203403421e-05,0.4273902177810669,1.0,0.9555000066757202,,,,,,,,,
122,cnn,translation,0.0,0.0,4.915087265544571e-05,0.4328470528125763,1.0,0.9555000066757202,,,,,,,,,
123,cnn,translation,0.0,0.0,4.348604488768615e-05,0.43743428587913513,1.0,0.9556666612625122,,,,,,,,,
124,cnn,translation,0.0,0.0,3.786114029935561e-05,0.44108372926712036,1.0,0.9555833339691162,,,,,,,,,
125,cnn,translation,0.0,0.0,3.248251596232876e-05,0.4464101791381836,1.0,0.9556666612625122,,,,,,,,,
126,cnn,translation,0.0,0.0,0.021192369982600212,1.3687270879745483,0.9961875081062317,0.7790833115577698,,,,,,,,,
127,cnn,translation,0.0,0.0,0.07379453629255295,0.3375549018383026,0.9781249761581421,0.9552499651908875,,,,,,,,,
128,cnn,translation,0.0,0.0,0.001830359105952084,0.343903511762619,0.999875009059906,0.956333339214325,,,,,,,,,
129,cnn,translation,0.0,0.0,0.0005155977560207248,0.3550885319709778,1.0,0.956333339214325,,,,,,,,,
130,cnn,translation,0.0,0.0,0.00036135828122496605,0.3622843027114868,1.0,0.9564999938011169,,,,,,,,,
131,cnn,translation,0.0,0.0,0.0002799024514388293,0.3686838746070862,1.0,0.9567499756813049,,,,,,,,,
132,cnn,translation,0.0,0.0,0.00022442977933678776,0.3760592043399811,1.0,0.9570000171661377,,,,,,,,,
133,cnn,translation,0.0,0.0,0.00018342214752919972,0.38188037276268005,1.0,0.9568333029747009,,,,,,,,,
134,cnn,translation,0.0,0.0,0.00015188327233772725,0.38751155138015747,1.0,0.9566666483879089,,,,,,,,,
135,cnn,translation,0.0,0.0,0.00012789959146175534,0.3929688334465027,1.0,0.9570833444595337,,,,,,,,,
136,cnn,translation,0.0,0.0,0.00010823711636476219,0.39829152822494507,1.0,0.9570833444595337,,,,,,,,,
137,cnn,translation,0.0,0.0,9.24412306630984e-05,0.4037891924381256,1.0,0.9573333263397217,,,,,,,,,
138,cnn,translation,0.0,0.0,7.949532300699502e-05,0.40835681557655334,1.0,0.9570000171661377,,,,,,,,,
139,cnn,translation,0.0,0.0,6.834761006757617e-05,0.4145495295524597,1.0,0.9567499756813049,,,,,,,,,
140,cnn,translation,0.0,0.0,5.901621261727996e-05,0.4197486639022827,1.0,0.9570000171661377,,,,,,,,,
141,cnn,translation,0.0,0.0,5.1545754104154184e-05,0.4242466986179352,1.0,0.9570000171661377,,,,,,,,,
142,cnn,translation,0.0,0.0,4.460847776499577e-05,0.4295877516269684,1.0,0.9565833210945129,,,,,,,,,
143,cnn,translation,0.0,0.0,3.9302121876971796e-05,0.43500691652297974,1.0,0.956166684627533,,,,,,,,,
144,cnn,translation,0.0,0.0,3.4327604225836694e-05,0.43950155377388,1.0,0.956333339214325,,,,,,,,,
145,cnn,translation,0.0,0.0,3.003713754878845e-05,0.44501036405563354,1.0,0.956333339214325,,,,,,,,,
146,cnn,translation,0.0,0.0,2.6489049560041167e-05,0.44895514845848083,1.0,0.956333339214325,,,,,,,,,
147,cnn,translation,0.0,0.0,2.3281781977857463e-05,0.45464256405830383,1.0,0.9566666483879089,,,,,,,,,
148,cnn,translation,0.0,0.0,2.0114151993766427e-05,0.4593336582183838,1.0,0.9557499885559082,,,,,,,,,
